time,n0,p0
    0,50.00000,15.00000
    5,57.99140,15.68564
   10,64.90207,16.71546
   15,70.35420,18.05755
   20,74.25912,19.68943
   25,76.73447,21.59529
   30,77.99367,23.76326
   35,78.26262,26.18268
   40,77.73722,28.84134
   45,76.56975,31.72272
   50,74.87151,34.80308
   55,72.72187,38.04852
   60,70.17846,41.41195
   65,67.28665,44.83042
   70,64.08785,48.22301
   75,60.62654,51.48998
   80,56.95613,54.51417
   85,53.14353,57.16553
   90,49.27149,59.31007
   95,45.43833,60.82312
  100,41.75387,61.60665
  105,38.33156,61.60753
  110,35.27791,60.83220
  115,32.68187,59.35236
  120,30.60733,57.29816
  125,29.09103,54.84024
  130,28.14554,52.16519
  135,27.76528,49.45191
  140,27.93229,46.85421
  145,28.61952,44.49191
  150,29.79060,42.44933
  155,31.39673,40.77870
  160,33.37222,39.50591
  165,35.63104,38.63662
  170,38.06654,38.16172
  175,40.55588,38.06160
  180,42.96926,38.30933
  185,45.18196,38.87272
  190,47.08640,39.71551
  195,48.60126,40.79794
  200,49.67582,42.07692
  205,50.28958,43.50580
  210,50.44892,45.03436
  215,50.18120,46.60880
  220,49.52967,48.17216
  225,48.54867,49.66548
  230,47.30003,51.02952
  235,45.85025,52.20752
  240,44.26852,53.14848
  245,42.62457,53.81105
  250,40.98663,54.16737
  255,39.41913,54.20624
  260,37.98039,53.93502
  265,36.72050,53.37962
  270,35.67971,52.58242
  275,34.88748,51.59847
  280,34.36225,50.49043
  285,34.11167,49.32321
  290,34.13318,48.15905
  295,34.41459,47.05372
  300,34.93456,46.05397
